Group,Part Number,Known As,Description,Reco,Hold,Quar,RECOLEICS,HoldLeics,QuarLeics,Thorn,ExtLeics,MTS,Ryr,May,Apr,Mar,Feb,Jan,Dec,Nov,Oct,Sep,Aug,Jul,Jun,Min,Max,Range
TURB,RCT31173R,840638-5001S,Nissan Bus 3.0d 118hp 2014> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31173REB,840638-5001S-REB,Nissan Bus 3.0d 118hp 2014> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31174BNU,841028-5008S-BNU,Hyundai Genesis 2.2d 197hp 2016> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31174BNU-OEM,841028-5008S-BNU-OEM,Hyundai Genesis 2.2d 197hp 2016> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31174OU,841028-5008S-OU,841028-5008S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31174R,841028-5008S,Hyundai Genesis 2.2d 197hp 2016> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31174REB,841028-5008S-REB,Hyundai Genesis 2.2d 197hp 2016> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31175BNU,841805-5005S-BNU,JI Case Harvester 8.7d 409hp 2015> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31175BNU-OEM,841805-5005S-BNU-OEM,JI Case Harvester 8.7d 409hp 2015> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31175OU,841805-5005S-OU,841805-5005S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31175R,841805-5005S,JI Case Harvester 8.7d 409hp 2015> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31175REB,841805-5005S-REB,JI Case Harvester 8.7d 409hp 2015> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31176BNU,841805-5012S-BNU,JI Case Tractor 8.7d 394hp 2013> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31176BNU-OEM,841805-5012S-BNU-OEM,JI Case Tractor 8.7d 394hp 2013> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31176OU,841805-5012S-OU,841805-5012S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31176R,841805-5012S,JI Case Tractor 8.7d 394hp 2013> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31176REB,841805-5012S-REB,JI Case Tractor 8.7d 394hp 2013> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31177BNU,841805-5015S-BNU,Iveco Irisbus 8.7d 408hp 2014> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31177BNU-OEM,841805-5015S-BNU-OEM,Iveco Irisbus 8.7d 408hp 2014> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31177OU,841805-5015S-OU,841805-5015S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31177R,841805-5015S,Iveco Irisbus 8.7d 408hp 2014> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31177REB,841805-5015S-REB,Iveco Irisbus 8.7d 408hp 2014> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31178BNU,841805-5020S-BNU,JI Case Tractor 8.7d 349hp 2020> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31178BNU-OEM,841805-5020S-BNU-OEM,JI Case Tractor 8.7d 349hp 2020> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31178OU,841805-5020S-OU,841805-5020S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31178R,841805-5020S,JI Case Tractor 8.7d 349hp 2020> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31178REB,841805-5020S-REB,JI Case Tractor 8.7d 349hp 2020> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31179BNU,841901-5018S-BNU,BMW M5 4.4d 519hp 2017> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31179BNU-OEM,841901-5018S-BNU-OEM,BMW M5 4.4d 519hp 2017> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
