Group,Part Number,Known As,Description,Reco,Hold,Quar,RECOLEICS,HoldLeics,QuarLeics,Thorn,ExtLeics,MTS,Ryr,May,Apr,Mar,Feb,Jan,Dec,Nov,Oct,Sep,Aug,Jul,Jun,Min,Max,Range
WSCONS,M6 X 17 - DIN 7349 WASHER,M6 X 17 - DIN 7349 WASHER,M6 X 17 - DIN 7349 WASHER Black Nickel,50250,0,0,7000,0,0,0,0,0,95750,2250,0,7000,9500,8500,0,19500,7000,5000,7000,23000,7000,10000,20000,
WSCONS,M6 10 HH88SC SF DIN933,BOLT M6 X 10,BOLT M6 X 10,50500,0,0,6000,0,0,0,0,0,66000,0,24000,6000,0,5000,0,7000,0,6000,11000,5000,2000,10000,50000,
WSCONS,M612HH88SCSFDIN933,M6 x 12 Hex Hd Set Screw,M6 x 12 Hex Hd Set Screw,7000,0,0,2000,0,0,0,0,0,46000,2000,-3000,2000,2000,10000,5000,5000,5000,5000,2000,5500,5500,5000,10000,
WSCONS,M5 8 FZ88SC TC1 1102015610,BOLT M5 X 8,BOLT M5 X 8,53000,0,0,6000,0,0,0,0,0,46000,1000,0,1000,5000,6000,0,6000,0,10000,5000,1000,11000,10000,45000,
PACK,HCP297.2,5MLSYRINGE,HCE 5ml Emerald Hyperdermic Syringe Individual,22500,0,0,11200,0,0,0,0,0,31600,0,5000,0,0,2500,0,2500,2500,2200,1300,14500,1100,2000,6000,
PACK,556550,SMALL OUTER,Cepac (300947) Small Outer 388x283x278,2625,0,0,500,0,0,450,0,0,22785,450,1125,1225,950,1525,2100,1650,2025,3335,2800,3200,2400,6000,12000,
ACTPART,1100-030-395,1100-030-395,ACT Clip T3,0,0,0,0,0,0,0,0,0,15200,0,200,0,1000,2000,0,0,3000,0,0,9000,0,25,50,
PACK,556495,SMALL TE,Cepac (300946) Small TE 340x260x260,0,0,0,0,0,0,0,0,0,15099,0,445,985,1450,1000,800,1940,2222,1132,1540,1640,1945,6000,12000,
WSCONS,M6 X 16 HH88SCSET SCREW BLK NICKEL,M6 X 16 HH88SCSET SCREW B,M6 X 16 HH88SC SET SCREW BLK NICKEL actuator bolts,1000,0,0,0,0,0,0,0,0,14000,0,0,2000,0,3000,2000,1000,0,1000,0,5000,0,2000,5000,
KIT,1102-015-630,1102-015-630,Bolt (VNT Nozzle Ring M4x20),0,0,0,0,0,0,0,0,0,13800,0,0,0,0,10800,0,0,3000,0,0,0,0,0,1,
WSCONS,M6 - HFST - TC1 DIN934,M6 Full Nut,M6 Full Nut Carriage bolt,4000,0,0,3500,0,0,0,0,0,12900,500,0,0,0,0,0,12400,0,0,0,0,0,500,1000,
PACK,30 12X18 200G NAT POLYBAGS (1000),30 12X18 200G NAT POLYBAG,30% 12X18 200G NAT POLYBAGS (1000) Individual,3000,0,0,2500,0,0,0,0,0,12800,500,500,0,500,0,0,1000,2900,3400,2750,1000,250,1000,5000,
PACK,30 15X20 200G NAT POLYBAGS (1000),30 15X20 200G NAT POLYBAG,30% 15X20 200G NAT POLYBAGS Individuals,8650,0,0,4500,0,0,0,0,0,11800,0,100,0,2500,500,850,350,-2700,4050,4250,1900,0,1000,5000,
PACK,30 6X8 200G NAT POLYBAGS (1000),30 6 x 200G NAT POLYBAGS,30% 7x9 200G NAT POLYBAGS (1000) Individual,3000,0,0,5000,0,0,0,0,0,11700,0,2000,1000,0,2000,0,0,2000,1800,0,0,2900,1000,5000,
WSCONS,M6-SFST-TC1 1102015610,M6 serrated flange nut,M6 serrated flange nut,4500,0,0,2000,0,0,0,0,0,10500,500,0,0,2000,1000,2000,1000,2000,0,0,2000,0,2500,10000,
KIT,1102-015-610,1102-015-610,Bolt (Flanged) GT15-25 Comp Cover,5000,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,
PACK,30 18X24 200G NAT POLYBAGS (1000),30 18x24 200g NAT POLYBAG,30% 18x24 200g NAT POLYBAGS (1000) Individual,1650,0,0,1800,0,0,200,0,0,9450,300,700,350,1500,1100,900,850,1000,1750,0,1000,0,1000,5000,
WSCONS,AH37N,AH37N,Cable Tie NATURAL 370/7.6mm,1000,0,0,500,500,0,0,0,0,9000,0,800,1000,1000,400,500,1000,800,800,1000,1000,700,200,2000,
WSCONS,AN30N,AN30N,Cable Tie NATURAL (4.8mm wide) individuals,1400,0,0,1000,0,0,0,0,0,8900,0,600,1100,700,100,600,1100,1000,1000,1200,1000,500,300,4500,
ACTPART,1102-015-395,1102-015-395,ACT Clip GT/VNT15-25,0,0,0,0,0,0,0,0,0,8000,0,1500,0,0,1000,0,0,3000,500,0,2000,0,50,200,
KIT,1102-015-481,1102-015-481,Clamp Washer GT/VNT15-25,2000,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,4000,3000,0,0,1,
WSCONS,M6 - FASTWA TC1 DIN125,M6 Steel Washer,M6 Steel Washer spinbolt repair,2500,0,0,0,0,0,0,0,0,7000,0,0,4500,0,0,0,0,0,0,0,0,2500,2000,6000,
PACK,556556,Large Outer,Cepac (302118) Large Outer 433x403x358,2165,0,0,275,0,0,195,0,0,5835,200,245,275,150,570,1295,645,550,280,400,650,575,1200,2400,
KIT,1102-015-632,1102-015-632,Bolt (GTB Nozzle Ring Cage M4x10),0,0,0,0,0,0,0,0,0,5500,0,0,1000,0,500,0,0,1000,3000,0,0,0,0,1,
PACK,M8X2000 STUD IMPORTED,m8x2000 stud bag,M8*1.25*40 Individuals,63400,0,0,800,0,0,0,0,0,5300,800,0,0,0,2000,0,0,0,0,0,0,2500,10000,50000,
MERCH,225984-RECO,225984-RECO,Elis Extra Pen (RECOTURBO) Aquamarine/black,0,0,0,129,0,0,0,0,0,5000,0,0,0,76,0,6,3268,0,1650,0,0,0,0,0,
PACK,556493,LARGE TE,Cepac (300945) Large Turbo Engineering 410x355x320,1082,0,0,287,0,0,0,0,0,4338,235,225,327,236,400,280,590,540,230,195,540,540,1200,2400,
WSCONS,20424,ORANGE GLOVES,ASAP Xtra Thick T-Grip Nitrile PF Gloves L Individual,12950,0,0,350,0,0,0,0,0,3670,650,2200,566,60,18,34,17,38,23,22,27,15,45,180,
WSCONS,M8 16 HH88SC TC1 DIN933,M8 x 16 Hex Hd Set Screw,M8 x 16 Hex Hd Set Screw 0136/0036 act bolts,2800,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,2000,600,200,200,0,600,0,2000,5000,
WSCONS,20425,ORGANGE GLOVES,ASAP Xtra Thick T-Grip Nitrile PF Gloves XL Individual,7650,0,0,350,0,0,0,0,0,3118,550,1850,555,31,14,0,0,2,15,45,32,24,30,120,
MERCH,NP 1/3A450 NOTEPAD,NP 1/3A450 NOTEPAD,NP 1/3A450 NOTEPAD (RECOTURBO) Merchandise,3,0,0,2784,0,0,0,0,0,3046,0,525,350,345,0,366,920,0,180,0,0,360,0,0,
MERCH,235710-RECO,235710-RECO,Medium Kraft Paper Bag (RECO) Brown/white print,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,
MERCH,TWIST HANDLE BAG 80GSM M BAG,TWIST HANDLE BAG 80GSM,TWIST HANDLE BAG 80GSM M BAG 1G111140,1000,0,0,0,0,0,0,0,0,3000,0,0,0,1000,1000,1000,0,0,0,0,0,0,500,4000,
MERCH,605430-RECO,605430-RECO,1/3rd A4 Note Pad (RECOTURBO) Merchandise,360,0,0,0,0,0,0,0,0,2330,0,0,0,0,0,180,1350,0,800,0,0,0,250,3000,
ACTPART,1100-025-395,1100-025-395,ACT Clip T2,0,0,0,0,0,0,0,0,0,2250,0,1050,0,0,0,0,0,0,0,0,1200,0,25,200,
CHRA,RCT30244CHRA,838417-5003S-CHRA,838417-5003S CHRA,146,0,0,298,0,0,0,0,1766,2195,122,201,212,145,193,52,272,200,268,293,161,76,400,750,
PACK,M10 STUD BAG 1100,M10 1.5 47STUD1100PER BAG,M10*1.5*47-1100PCS/BAG Coarse Individual,12874,0,0,1106,0,0,0,0,0,2190,0,1090,0,0,0,0,0,0,1100,0,0,0,5000,10000,
VNT,RCT30244VNT,838417-5003S-VNT,838417 838452 VNT,185,0,0,442,0,0,0,0,2000,2183,62,188,167,116,162,132,235,214,215,328,208,156,425,850,
WSCONS,M5 X 12 FLANGED BOLT,M5 X 12 FLANGED BOLT,M5 X 12 FLANGED BOLT,2000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,2000,0,0,0,0,0,600,2000,
MERCH,185258 RECO SUNGLASSES,RECO SUNGLASSES,CLASSIC SUN GLASSES BLACK 1 COLOR PRINT ARM,0,0,0,31,0,0,0,0,0,1650,0,0,0,0,0,300,0,0,500,600,0,250,200,2500,
GASK,RCT30244GSK,838417-5003S-GSK,838417-5003S 838452 850840 GASKET SET,322,0,0,2398,0,0,9,0,0,1596,182,442,191,237,277,-124,196,188,1,0,6,0,300,600,
TURB,RCT30244R,838417-5003S,Ford Transit/Torneo 2.0d EcoBlue 105-170hp 2016> Reman Turbo,91,2,0,85,0,0,9,0,0,1569,37,128,81,28,127,73,141,183,181,186,220,184,45,90,REMAN
GASK,1900-100-655,1900-100-655,Gasket Kit -838417 838452,3,0,0,3,0,0,0,0,0,1215,0,0,-1,2,-1,1,146,57,289,250,349,123,0,0,
AGPARTS,1900-000-052,1900-000-052,Red plastic CHRA plug 11mm (Oil in TB02),0,0,0,0,0,0,0,0,0,1200,300,200,700,0,0,0,0,0,0,0,0,0,0,1,
TURB,RCT30180R,786880-5021S,Ford Transit FWD 2.2d 100-155hp 2011> Reman Turbo,77,1,0,80,0,0,9,0,0,1165,15,33,36,13,73,61,119,148,152,129,222,164,25,50,REMAN
WSCONS,215930R-CN,ASAP X-Tra Thick Nitrile,ASAP X-Tra Thick Nitrile PF Gloves Orange-M Individual,28150,0,0,600,0,0,0,0,0,1146,0,800,211,4,8,15,1,47,15,11,20,14,30,100,
TURB,RCT30182R,787556-5022S,Ford Transit RWD 2.2d 100-155hp 2011> Reman Turbo,72,1,0,90,0,0,9,0,0,1135,11,24,22,9,52,50,102,171,164,149,200,181,25,50,REMAN
MERCH,605430-TE,605430-TE,1/3rd A4 Note Pad (TURBO ENGINEERING) Merchandise,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,1080,0,0,250,3000,
PACK,RECO MEDIUM BOXES,RECO MEDIUM BOXES,RECO MEDIUM INNER BOXES BESP42292 250x250x290mm,1230,0,0,479,0,0,0,0,0,1010,443,567,0,0,0,0,0,0,0,0,0,0,200,400,
WSCONS,2000 SELF ADHESIVE 42X40 SLOT HOOK,SELF ADHESIVE 42x40 EURO,2000 SELF ADHESIVE 42X40 SLOT HOOK HANGING TABS EBAY,2500,0,0,0,0,0,0,0,0,1000,0,500,0,0,0,0,0,0,0,500,0,0,500,2000,
MERCH,246707,246707,Koda Colour Ball Pen (Turquoise Blue),0,0,0,8504,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,
WSCONS,M6 X 25 SOC HD GRD 12.9 SELF FINISH/1,M6 X 25 SOC HD GRD 12.9 S,M6 X 25 SOC HD GRD 12.9 SELF FINISH/100,1500,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,0,0,0,0,0,0,0,500,1000,
TURB,RCT30228R,B100101,Ford EcoBoost 1.0p 100hp 2012> Remanufactured Turbo,28,0,0,45,16,0,10,0,0,924,31,25,17,4,87,56,90,115,139,120,148,92,25,50,REMAN
WSCONS,AM10,AM10,Cable Tie BLACK 100/2.5mm,900,0,0,200,0,0,0,0,0,902,100,0,100,100,0,100,300,0,100,100,1,1,1,5,
TURB,RCT30252R,838452-5003S,Ford Transit 2.0 LD Remanufactured Turbo,68,1,0,10,0,0,10,0,0,868,67,102,76,67,54,25,63,105,76,71,86,76,25,50,REMAN
KIT,1102-414-790,1102-414-790,Gasket GTD1444VZ Inconel - C Section (Turbine Housi,0,0,0,0,0,0,0,0,0,860,0,200,50,100,0,0,100,200,0,160,0,50,50,100,
MISC,NOTE,,ENTER NOTE HERE,0,0,0,0,0,0,0,0,0,858,552,433,112,348,-1303,700,490,-491,792,-119,-745,89,0,0,
AGPARTS,1900-000-053,1900-000-053,Red plastic CHRA plug 14mm (Oil out TB02/GT15/TD025/T,0,0,0,0,0,0,0,0,0,850,300,0,400,0,0,0,150,0,0,0,0,0,0,1,
TURB,RCT20077R,5438-988-0017,Renault Nissan 1.6d 130hp 2011> Remanufactured Turbo,22,0,0,77,0,0,10,0,0,757,9,15,14,6,31,45,106,105,92,117,124,93,20,40,REMAN
WSCONS,AM10G,AM10G,Cable Tie GREEN 100/2.5mm,1100,0,0,200,0,0,0,0,0,702,0,0,200,0,100,100,0,0,100,200,1,1,1,5,
FLAP,1102-017-890,1102-017-890,Wastegate Kit LP (810358),37,0,0,0,0,0,0,0,0,696,16,59,61,24,102,27,79,49,53,56,94,76,5,20,
GASK,RCT30163GSK,775517-5002S-GSK,775517-5002S 5439-988-0136 5440-988-0036 GASKET SET,311,0,0,569,0,0,10,0,1000,663,32,16,2,19,208,84,114,80,27,0,2,79,280,500,
TURB,RCT30363R,850840-5007S,Ford Transit 2.0d 105-185hp 2019> Remanufactured Turbo,6,0,0,10,0,0,9,0,0,663,68,87,107,86,66,40,42,53,41,26,32,15,35,75,REMAN
KIT,1900-000-044,1900-000-044,Gasket GTB1749V (Actuator),0,0,0,0,0,0,0,0,0,650,0,0,0,0,450,0,200,0,0,0,0,0,25,100,
TURB,RCT50045R,49335-01960,Jaguar Range Rover 2.0d 180hp 2015> Remanufactured Turbo,25,0,0,128,0,0,10,0,0,644,7,9,-3,-1,49,52,77,78,86,107,74,109,20,40,REMAN
KIT,1102-414-791,1102-414-791,Gasket (Actuator mounting) GTD1444VZ (Turbo 838417-00,0,0,0,0,0,0,0,0,0,614,0,100,30,20,60,0,214,75,25,20,70,0,50,100,
CHRA,1102-414-913,1102-414-913,CHRA 850840,204,0,0,0,0,0,0,0,0,556,34,94,121,68,53,26,52,53,0,2,30,23,0,0,
WSCONS,ROCKET TT MAINTENANCE SPRAY 450ML,ROCKET TT MAINTENANCE SPR,ROCKET TT MAINTENANCE SPRAY 450ML,219,0,0,18,0,0,0,0,0,543,0,64,10,80,79,52,34,93,2,37,79,13,150,300,
PACK,RECO MEDIUM OUTER BOXES,RECO MEDIUM OUTER BOXES,MEDIUM OUTER 294*264*306mm,1950,0,0,625,0,0,0,0,0,525,375,150,0,0,0,0,0,0,0,0,0,0,200,400,
FAST,M4X20 VNT NOZZLE RING SCREW,M4x20 C HEAD TX SKT SCREW,M4x20 CAP HEAD TX SOCKET SCREW H-SS EN1.4980 SELF FINISH,0,0,0,0,0,0,0,0,0,500,0,0,0,0,500,0,0,0,0,0,0,0,2000,10000,
WSCONS,M6X30MM COUNTERSUNK HEAD HEX SOCKET,TR00006821-000,M6X30MM COUNTERSUNK act bolts TR00006821-000,8500,0,0,0,0,0,0,0,0,500,0,0,0,0,500,0,0,0,0,0,0,0,5000,10000,
WSCONS,M6X20 SOCKET CAP SCREWS,M6X20 SOCKET CAP SCREWS,M6X20 SOCKET CAP SCREWS SELF COLOR,0,0,0,0,0,0,0,0,0,500,0,0,0,0,500,0,0,0,0,0,0,0,100,500,
TURB,RCT30244BNU-ZC,838417-5003S-BNU-ZC,Ford Transit/Torneo 2.0d EcoBlue 105-170hp 2016> New Turbo,11,6,0,16,156,0,4,0,1953,497,22,31,35,22,17,13,35,43,27,36,102,114,10,20,BNU-ZC
TURB,RCT50017R,49373-02013,PSA Ford Volvo HDi 1.6d 90-115hp 2009> Reman Turbo,16,0,0,20,0,0,10,0,0,489,5,6,14,1,36,27,54,54,68,100,81,43,10,20,REMAN
GASK,RCT50017GSK,49373-02013-GSK,49373-02013 784011 806291 Gasket Set,760,0,0,943,0,0,10,0,0,481,12,19,28,0,75,40,59,61,1,0,102,84,700,1300,
TURB,RCT30180BNU-ZC,786880-5021S-BNU-ZC,Ford Transit FWD 2.2d 100-155hp 2011> New ZC Turbo,5,1,0,3,127,0,9,0,2418,454,14,18,10,-2,28,14,43,50,32,35,68,144,10,20,BNU-ZC
WSCONS,MIL4932430880,TX25 x 25 Torx bits,TX25 x 25 Torx individual  bits,200,0,0,25,0,0,0,0,0,450,0,50,0,50,50,25,25,125,25,75,25,0,50,125,
KIT,1102-015-631,1102-015-631,Bolt (VNT Nozzle Ring M4x16),500,0,0,0,0,0,0,0,0,450,0,50,0,0,200,0,0,0,0,0,200,0,0,0,
TURB,RCT20076R,5438-988-0006,Mercedes Nissan Renault 1.5d 107-110hp 2009> Reman Turbo,18,0,0,41,4,0,8,0,0,437,8,11,10,2,38,26,50,32,50,62,69,79,10,20,REMAN
TURB,RCT30175R,781504-5007S,Vauxhall Astra/Meriva 1.4p 120-140hp 2009> Reman Turbo,19,0,0,46,0,0,10,0,0,435,3,2,2,2,29,29,64,34,65,59,71,75,10,20,REMAN
TURB,RCT30182BNU-ZC,787556-5022S-BNU-ZC,Ford Transit RWD 2.2d 100-155hp 2011> New ZC Turbo,26,0,3,23,185,0,9,0,3228,420,26,23,10,8,9,2,17,30,23,29,129,114,5,10,BNU-ZC
WSCONS,AM10P,AM10P,Cable Tie PURPLE 100/2.5mm,1100,0,0,200,0,0,0,0,0,405,0,0,101,0,1,1,0,0,100,200,1,1,1,5,
PACK,470158,Lge 0201 Plain,Cepac(300944)Large 0201 Plain 625 x 406 x 463 Twin Turbo Box,264,0,0,2,0,0,0,0,0,405,15,30,44,47,29,0,25,65,67,23,45,15,65,500,
WSCONS,AM10S,AM10S,Cable Tie SILVER 100/2.5mm,900,0,0,200,0,0,0,0,0,403,0,0,100,101,0,1,0,0,100,100,1,0,1,5,
WSCONS,AM10OR,AM10OR,Cable Tie ORANGE 100/2.5mm,800,0,0,200,0,0,0,0,0,403,0,0,101,0,0,1,0,0,100,200,1,0,1,5,
GASK,RCT20003GSK,1000-988-0074-GSK,1000-988-0074 Gasket Set,508,0,50,110,0,0,20,0,0,402,7,7,-1,0,3,-2,3,24,310,27,11,13,50,100,
TURB,RCT20148R,5303-988-0521,Peugeot Citroen 2.0 HDi 129hp 2013> Remanufactured Turbo,23,2,0,33,0,0,5,0,0,400,6,34,32,18,26,23,36,50,43,48,50,34,15,25,REMAN
PACK,431384,SMALL RECO,Cepac Small Reco Blue/Black 340x260x260,0,0,0,0,0,0,0,0,0,400,0,0,0,40,26,0,200,55,19,15,45,0,20,40,
WSCONS,M8 FLANGE HEAD NUTS,M8 FLANGE HEAD NUTS,M8 FLANGE HEAD NUTS CARBON STEEL,500,0,0,0,0,0,0,0,0,400,200,200,0,0,0,0,0,0,0,0,0,0,100,500,
MERCH,RECOTURBO-TRADE EXPRESS  MOUSE MAT,TRADE EXPRESS MOUSE MAT,RECOTURBO-TRADE EXPRESS  MOUSE MAT,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,400,0,0,0,0,0,50,100,
TURB,RCT20106R,5440-988-0036,VW Audi Seat Skoda 2.0d 100-140hp 2004> Remanufactured Turbo,29,0,0,30,0,0,3,0,0,389,5,10,17,-3,36,34,36,57,30,68,53,46,10,20,REMAN
CHRA,RCT50060CHRA,49172-03000-CHRA,49172-03000 -03100 CHRA,29,0,0,89,0,0,0,0,116,386,9,22,8,10,66,32,104,58,8,15,16,38,100,200,
GASK,RCT20148GSK,5303-988-0521-GSK,5303-988-0521-GASKET SET,234,0,0,28,0,0,10,0,0,380,6,12,8,1,188,35,16,32,24,21,18,19,125,250,
CHRA,RCT20148CHRA,5303-988-0521-CHRA,5303-988-0521 CHRA,36,0,0,141,0,0,0,0,192,370,-1,30,9,0,22,59,70,15,21,63,46,36,80,160,
WSCONS,FLAP WHEEL SMALL 25MM 60G,FLAP WHEEL SMALL 25MM 60G,FLAP WHEEL SMALL 25MM 60G,120,0,0,0,0,0,0,0,0,369,25,10,10,49,45,0,65,40,45,40,20,20,10,100,
GASK,1900-100-664,1900-100-664,Gasket Kit - 49172-03000 -03100,40,0,0,1,0,0,0,0,0,369,24,17,10,58,59,41,75,61,15,9,0,0,0,0,
VNT,RCT50045VNT,49335-01960-VNT,49335-01960 VNT,90,0,0,325,0,0,0,0,0,360,0,0,0,325,0,0,0,0,0,0,0,35,250,500,
KIT,1401-404-798,1401-404-798,Gasket Steel V Seal TD04 VGT,0,0,0,0,0,0,0,0,0,351,0,0,0,51,0,50,0,0,0,0,250,0,25,100,
TURB,RCT50060R,49172-03000,Ford PSA Vauxhall 1.6 HDi 100hp 2015> Remanufactured Turbo,39,0,0,40,1,0,5,0,0,348,7,8,10,0,31,25,43,45,57,28,49,45,10,20,REMAN
TURB,RCT50045BNU-ZC,49335-01960-BNU-ZC,Jaguar Range Rover 2.0p 180hp 2015> New ZC Turbo,15,7,1,18,79,0,3,0,816,342,15,33,18,22,15,7,17,34,27,19,45,90,10,20,BNU-ZC
WSCONS,PU COATED GLOVES L9 PAIRS,PU COATED GLOVES L9 PAIRS,PU COATED GLOVES L9 PAIRS BLACK & GREY Pairs(2Pieces),66,0,0,110,0,0,0,0,0,332,2,22,10,0,-28,1,112,32,52,69,47,13,1,200,
CHRA,RCT20003CHRA-HP,5439-988-0075-CHRA,1000-988-0074 (5439-988-0075 HP SIDE) CHRA,38,0,0,82,0,0,0,0,0,330,10,52,21,37,12,0,-1,12,40,93,10,44,150,300,
TURB,RCT30228BNU-ZC,B100101-BNU-ZC,Ford EcoBoost 1.0p 100hp 2012> New ZC Turbo,19,0,12,45,79,0,8,0,1266,330,8,25,5,3,13,15,25,40,27,29,73,67,7,15,BNU-ZC
CHRA,RCT20003CHRA-LP,5304-988-0086-CHRA,5304-988-0086 (1000-988-0074 LP SIDE) CHRA,30,7,0,88,0,0,0,0,0,329,11,50,33,34,3,9,29,28,18,65,10,39,150,300,
GASK,RCT30175GSK,781504-5007S-GSK,781504-5007S Gasket Set,109,0,0,49,0,0,10,0,0,327,0,0,-1,1,99,17,35,20,0,61,63,32,0,0,
GASK,RCT50102GSK,49335-01700-GSK,49335-01700 GASKET SET,49,0,0,10,0,0,5,0,0,327,0,10,2,1,231,0,16,9,31,24,1,2,60,120,
WSCONS,MIL4932430875,TX20x 25mmLONG INDIVIDUAL,TX20x 25mmLONG INDIVIDUAL BITS,125,0,0,25,0,0,0,0,0,325,25,25,0,25,25,25,0,75,0,100,25,0,25,100,
CHRA,RCT30207CHRA-HP,810356-5001S-CHRA-HP,810356-5001S (HP SIDE OF 810358) CHRA,10,0,0,105,0,0,0,0,100,318,11,27,39,12,27,36,29,34,45,40,10,8,90,180,
GASK,RCT30210GSK,847671-5002S-GSK,813860 847671 11002000 5303-988-0414 821866 Gasket Set,0,0,0,0,0,0,0,0,0,316,0,0,0,2,23,136,24,49,35,29,12,6,250,500,
CHRA,RCT30207CHRA-LP,810357-5001S-CHRA-LP,810357-5001S (LP SIDE OF 810358) CHRA,10,0,0,89,1,0,0,0,100,314,10,25,39,12,27,36,29,38,45,40,0,13,90,180,
TURB,RCT20104R,5439-988-0136,Skoda Roomster/VW Polo 1.6LD 90/105HP 2010 Reman Turbo,27,0,0,25,6,0,4,0,0,314,0,16,3,10,11,24,28,40,24,40,49,69,7,15,REMAN
GASK,RCT20077GSK,5438-988-0017-GSK,5438-988-0017 Gasket Set,444,0,0,430,0,0,10,700,0,308,0,1,0,1,295,1,2,4,-3,1,6,0,450,900,
TURB,RCT30207R,810358-5004S,Mazda CX5 2.2d 175hp 2011> Remanufactured Turbo,15,0,0,5,0,0,4,0,0,307,10,24,22,13,20,13,19,40,37,28,47,34,7,15,REMAN
WSCONS,MIL4932430866,TX30 x 25LONG INDIVIDUAL,TX30 x 25 Long INDIVIDUAL BITS,50,0,0,25,0,0,0,0,0,300,0,50,0,25,-50,25,25,50,50,50,75,0,25,100,
KIT,1401-635-791,1401-635-791,Gasket TF035 Steel (VGT V Seal) 49135-05671 Turbo,300,0,0,0,0,0,0,0,0,300,0,0,0,100,0,0,0,0,0,0,0,200,50,150,
KIT,1401-635-792,1401-635-792,Gasket C Section TF035HL Turbine Housing,0,0,0,0,0,0,0,0,0,300,0,0,50,0,0,0,0,0,0,166,84,0,25,100,
MERCH,RECOTURBO-BOOST TECHNOLOGIES MOUSEMAT,BOOSTTECHNOLOGIESMOUSEMAT,RECOTURBO BOOST TECHNOLOGIES MOUSEMAT,0,0,0,0,0,0,0,0,0,300,0,0,0,220,3,77,0,0,0,0,0,0,50,100,
MERCH,RECOTURBO-DINGBRO MOUSE MAT,RECOTURBO-DINGBROMOUSEMAT,RECOTURBO-DINGBRO MOUSE MAT,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,300,0,0,0,0,0,50,100,
GASK,RCT30101GSK,751851-5004S-GSK,751851 5439-988-0022 -0082 GASKET SET,169,0,0,20,0,0,10,0,0,296,4,12,4,26,54,14,21,23,28,37,36,37,250,500,
CH,RCT30252CH,838452-5003S-CH,838452-5003S-COMPRESSOR HOUSING,34,0,0,208,0,0,0,0,380,293,44,37,9,18,10,12,54,12,18,51,10,18,100,200,
GASK,RCT30215GSK,825246-5002S-GSK,825246-5002S GASKET ST,124,0,0,45,0,0,10,0,0,290,0,2,1,0,174,3,2,47,27,24,10,0,250,500,
TURB,RCT30163R,775517-5002S,VW Audi Seat Skoda 1.6d 75-105hp 2009> Remanufactured Turbo,30,0,0,6,0,0,6,0,0,285,2,11,12,14,27,12,37,40,31,36,35,28,10,20,REMAN
WSCONS,840X365MMX 220 MICRON GLASS CLEAR PVC,840X365MMX 220 MICRON,840X365MMX 220 MICRON GLASS CLEAR PVC SANDSCREEN TRENT PLAST,249,0,0,0,5,0,0,0,0,285,0,50,21,20,15,11,30,20,42,31,27,18,100,300,
TURB,RCT20003R,1000-988-0074A,Mercedes Sprinter 2.2d 129-163HP 2010> (Angle) Reman Turbo,14,0,0,5,0,0,2,0,0,284,17,30,20,27,20,6,17,23,32,36,31,25,15,30,REMAN
TURB,RCT30106R,753420-5006S,PSA Volvo Mini Mazda 1.6d HDI 90-110hp 2004> Reman Turbo,37,2,0,57,0,0,3,0,0,282,2,3,2,3,12,17,38,35,41,42,45,42,5,10,REMAN
CHRA,RCT50015CHRA,49335-00644 CHRA,49335-00644 -00585 CHRA,30,0,0,116,0,0,0,0,504,278,1,0,0,1,44,44,11,26,50,35,56,10,135,270,
VNT,RCT30363VNT,850840-5007S-VNT,850840-5007S-VNT,65,0,0,178,0,0,0,0,0,275,9,57,99,28,52,0,0,0,30,0,0,0,300,600,
VNT,RCT30182VNT,787556-5022S-VNT,787556 786880 798128 VNT,131,0,0,300,0,0,0,0,0,274,0,0,3,-4,14,10,18,32,22,46,48,85,120,240,
TURB,RCT20077BNU-ZC,5438-988-0017-BNU-ZC,Renault Various 1.6LD 130HP 2011- New ZC Turbo,12,0,0,17,125,0,4,0,1057,274,11,12,7,5,7,12,18,18,23,21,88,52,10,20,BNU-ZC
TURB,RCT30248R,819872-5001S,Peugeot 208/308 1.6HDi Remanufactured Turbo,17,0,0,3,0,0,6,0,0,271,11,12,12,10,20,14,23,32,24,33,34,46,7,15,REMAN
TURB,RCT50015R,49335-00644,BMW Various 2.0d 181hp Remanufactured Turbo,17,1,0,24,0,0,6,0,0,271,5,2,6,7,24,26,23,36,25,40,37,40,10,20,REMAN
GASK,1900-100-574,1900-100-574,Gasket Kit - 5439-988-0136 5440-988-0036 775517,3,0,0,0,0,0,0,0,0,266,0,0,1,1,-4,0,0,0,85,42,117,24,0,10,
GASK,RCT20127GSK,5438-988-0013-GSK,5438-988-0013-GASKET SET,13,0,0,5,0,0,2,0,0,263,8,0,0,0,75,10,44,22,15,7,47,35,100,200,
